PID,Method,Block,SDLP,Speed
1,TAP,1,1.863589022820572,81.9936361187264
1,TAP,2,2.057248454424251,77.53820872676152
1,SWIPE,1,2.0832328678114296,79.23101085413009
1,SWIPE,2,2.0016172812926816,79.35654688825709
1,MIDAIR,1,1.8890207588657593,78.14305284780706
1,MIDAIR,2,2.1819687482593046,81.68644019642477
2,TAP,1,1.9248060348531035,104.85872230741319
2,TAP,2,1.5462702798242718,81.0360568119217
2,SWIPE,1,1.7525241955877138,87.45581791478668
2,SWIPE,2,1.6463936092649727,80.89950047353257
2,MIDAIR,1,1.9449903453940283,113.59884927707259
2,MIDAIR,2,1.5567274447123398,88.18098610573604
3,TAP,1,1.7728491772882662,81.93643727776802
3,TAP,2,2.0201242420106458,78.85550411758945
3,SWIPE,1,2.0612246063492354,76.27359079417303
3,SWIPE,2,1.8944547108173788,76.38057848538034
3,MIDAIR,1,1.9628035458402704,79.75523592114536
3,MIDAIR,2,1.998545273503679,81.16207932533742
4,TAP,1,1.6543743069272019,86.07287101727742
4,TAP,2,1.6524321565626274,81.78079751971765
4,SWIPE,1,1.8339140940372165,84.29310823303635
4,SWIPE,2,1.704432399649691,95.22860658118184
4,MIDAIR,1,1.8328887271308152,76.38883395817315
4,MIDAIR,2,1.8106102217597193,93.19207677374705
5,TAP,1,2.01985625721427,75.08306943330325
5,TAP,2,2.0377332428755435,82.96776011247546
5,SWIPE,1,2.0062930765747917,76.1203997882281
5,SWIPE,2,1.9992900549350918,77.31264850133783
5,MIDAIR,1,1.8703412728484539,95.93872134973856
5,MIDAIR,2,1.8387709904180913,89.21315449986534
6,TAP,1,1.8917239042163938,88.97832351610084
6,TAP,2,1.6900474233055713,78.10255231016848
6,SWIPE,1,1.8971499235478346,79.58217923049962
6,SWIPE,2,1.734384462257144,79.41070178361751
6,MIDAIR,1,1.7424940562036644,77.38202619505296
6,MIDAIR,2,1.837927761761652,80.47781211178378
7,TAP,1,2.047707153477485,84.2644406696568
7,TAP,2,1.915363740497047,79.11892927206385
7,SWIPE,1,1.8850482885514321,81.21433677806878
7,SWIPE,2,1.955303054166066,80.98052127847065
7,MIDAIR,1,2.6297026256579277,87.70610153424926
7,MIDAIR,2,2.038770591577163,85.54729864958455
8,TAP,1,2.0331037416015243,92.76355444715166
8,TAP,2,2.0509925963194657,89.37704346507181
8,SWIPE,1,2.4430448268825486,81.01933593393339
8,SWIPE,2,2.121076464939666,78.52873396997177
8,MIDAIR,1,2.4792801470284958,83.48577927465527
8,MIDAIR,2,2.3406719664764224,86.88215350535489
9,TAP,1,1.9367354879002012,85.576957271967
9,TAP,2,1.9333837042976265,82.12207057194568
9,SWIPE,1,2.178581906670737,80.79174392573744
9,SWIPE,2,2.319707603549004,81.31611380145269
9,MIDAIR,1,2.0467317542451013,79.30016249240715
9,MIDAIR,2,2.0271109874445368,78.48721837850336
10,TAP,1,1.8938381465018794,81.0789640223593
10,TAP,2,1.8262081186981791,80.51569370178967
10,SWIPE,1,1.8267363250082598,80.22235372414916
10,SWIPE,2,2.02042791425156,78.94601403667154
10,MIDAIR,1,3.001704492849109,98.58418823401455
10,MIDAIR,2,1.855790466905105,74.64397126469626
11,TAP,1,2.473912884002777,82.48822184471724
11,TAP,2,2.427916930855355,86.89303313077609
11,SWIPE,1,2.659646126562068,102.33466035364353
11,SWIPE,2,2.157771506934642,82.33073243691994
11,MIDAIR,1,2.6523172571974403,86.27366397853821
11,MIDAIR,2,1.867771745979876,100.60078586170347
12,TAP,1,2.4280505457777384,116.04626938377149
12,TAP,2,2.116831305839625,80.91288940098292
12,SWIPE,1,2.270696212262426,83.46459379452662
12,SWIPE,2,2.2513436354451364,84.67759926841569
12,MIDAIR,1,2.421446422516737,83.61219148275623
12,MIDAIR,2,2.3692969037211395,83.03856186332467
13,TAP,1,2.2256674498490994,89.39044616090479
13,TAP,2,2.0788336068002886,89.1660670932498
13,SWIPE,1,2.022171481708707,83.73987427189496
13,SWIPE,2,2.0812282078278717,90.17223874115734
13,MIDAIR,1,2.1736269972698157,85.91413746719532
13,MIDAIR,2,2.374574285390384,80.48897834617694
14,TAP,1,1.8954742292476245,90.36167987108509
14,TAP,2,1.9492399468271107,81.0565492481256
14,SWIPE,1,1.7927682986318496,76.68538956330826
14,SWIPE,2,1.759704216310637,78.48440678883526
14,MIDAIR,1,2.1269361885359874,73.29129216215699
14,MIDAIR,2,1.7588129051308714,68.84644088018605
15,TAP,1,1.9101812092752515,82.85698260407821
15,TAP,2,2.069025094215788,80.65505292982101
15,SWIPE,1,2.1412416064885273,77.32331536479661
15,SWIPE,2,2.089211879271236,81.13933412006428
15,MIDAIR,1,2.242098685700311,76.71078910075427
15,MIDAIR,2,2.154600928863119,83.07103382163449
16,TAP,1,2.008291204381049,76.21561925009523
16,TAP,2,2.105131630445639,83.21693240268236
16,SWIPE,1,1.7970861916764684,75.23835604846414
16,SWIPE,2,2.162448076593711,72.70972598212728
16,MIDAIR,1,2.0296795975867497,80.38420159562776
16,MIDAIR,2,2.0877009155829414,81.792100901398
17,TAP,1,2.343985042800698,83.85928738997187
17,TAP,2,1.8933031934271642,85.1370682030006
17,SWIPE,1,2.2849023448271524,90.1897025495399
17,SWIPE,2,2.1673740796621597,93.07060665886725
17,MIDAIR,1,2.62281011489251,89.4217040055781
17,MIDAIR,2,2.096487399804906,86.04068201143366
18,TAP,1,2.159756997345272,78.20352410875425
18,TAP,2,2.1931280099788584,81.59524972771428
18,SWIPE,1,2.2442258045350485,80.12213124728598
18,SWIPE,2,2.2708366486138973,78.58378714175177
18,MIDAIR,1,2.368717642502007,79.51391350216646
18,MIDAIR,2,2.2914709051229556,83.09315057952979
